Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1954-1861,1856-09-[25],63,88,N/A,Thursday. Went to the Zoological Gardens. Herbert Spencer was waiting for us when we came home. He dined with us and we spent a pleasant evening in chat.
Diary 1954-1861,1856-10-12,64,89,N/A,"Sunday Oct. 12. Expecting Barbara Smith to come and say good bye, before going to Algiers. Herbert Spencer, to our surprize , appeared at the station, when we were looking out for B. He dined with us, but no Barbara came."
Diary 1954-1861,1856-10-[13],64,89,N/A,Monday. Barbara and Bessie came about 5 and staid an hour. I have brought my story to the end of the 2nd chapter.
Diary 1954-1861,1856-10-19,64,89,N/A,Sunday 19. Mr. Redford dined with us.
Diary 1954-1861,1856-10-25,64,89,N/A,Sat. 25. Brought my story to the end of the 4th chapter and began the 5th.
Diary 1954-1861,1856-11-05,64,89,N/A,"Wednesday, November 5. Finished my first story- ""The Sad Fortunes of Amos Barton""."
Diary 1954-1861,1856-12-04,64,89,N/A,Dec. 4. Sent off my article on Young.
Diary 1954-1861,1856-12-13,64,89,N/A,"13. Finished my article on History, Biography etc. for Contemporary Literature."
Diary 1954-1861,1856-12-19,64,89,N/A,"19. Finished and sent off article on Belles Lettres. I have had a pleasant letter from Barbara, saying how much she enjoys Algiers. Another great satisfaction has been a letter from Blackwood, expressing more cordially than ever his admiration of""Amos Barton"", and hoping that the ""great unknown"" is laying the keel of other stories."
Diary 1954-1861,1856-12-24,64,89,N/A,Christmas Eve. Alone at Park Shot. G. gone to Vernon Hill.
Diary 1954-1861,1856-12-25,64,89,N/A,"Christmas Day. Began ""Mr. Gilfil's Love Story"", the second of my series."
Diary 1954-1861,1856-12-30,64-65,89-90,N/A,"Dec. 30. Received a letter from Blackwood , with a cheque for fifty guineas for
""Amos Barton"", and a proposition to republish the series, either giving me a
sum for it, or at half profits.
1856 from Jan. to July.
Finished Trans. ofSp. Ethics Feb. 19.
Art. on Shagpat for Leader 1. 1.0
do. Von Bohlen 1. 1.0
do. Rachel Gray 1. 1.0
do. Kahnis' Hist. of Protestantism 1. 1.0
do. Griswold's American Poets 1. 1.0
do. Stahr's Torso 1. 1.0
Art. on Belles Lettres for Westminster 12.12.0
Art. on Stahr for Sat. Rev. 2. 2.0
do. Henry Murger 2. 2.0
do. Antigone for Leader 1. 1.0
do. Gieseler 1. 1.0
Art. on Vehse's Austria 1. 1.0
Art. on Heine's Book of Songs for Sat. Rev. 2. 2.0
""Who wrote the Waverley Novels"" 1. 1.0
Story from ""La Folle du Logis"" 1. 1.0 Art. on Marg. Fuller's Letters for Leader
Article on Riehl for Westminster
Belles Lettres for July No.
Work done from July to December 1856
Article on Lovers' Seat for Leader
Tale from Auerbach for do
Art. onForbes's ""Sightseeing""
Art. on Recollections ofHeine
Art. on Ferny Combes
Art. on Felice Orsini
Art. on ""Silly Novels""
"" Belles Lettres
Article on Young for W.R.
History etc. and Belles Lettres
""Sad Fortunes of Amos Barton""
Brot. over, from Jan. to July, 1856
Additional from W.R. for Art. on Young
FromJanuary to July brot. forwd.
1. 1.0
17.10.0
12.12.0
£61.12.0
£. s. d.
1. 1.0
1. 1.0
1. 1.0
1. 1.0
1. 1.0
1. 1.0
12.10.0
12.12.0
20. o.o
22. 1.0
52.10.0
125.19.0
61.12.0
5. o.o
192.11.0
61.12.0
254. 3.0"
Diary 1954-1861,1857-01-04,65,90,N/A,"Jan. 4 [1857). Finished the Introductory part of""Mr Gilfil's Love Story""."
Diary 1954-1861,1857-01-17,65,90,N/A,17. Finished the 2nd chapter forming end of Part I.
Diary 1954-1861,1857-01-18,65,90,N/A,18. Herbert Spencer and Mr. Chapman dined with us.
Diary 1954-1861,1857-01-19 through 1857-01-23,65,90,N/A,"19-23. Unable to work for four days from bilious headache. Finished
Macaulay's History. We are reading Carlyle's History ofFrench Revolution in the evenings. A few days ago, I received a letter from Mr. Chapman, proposing to give me in future 12.12.0 per sheet for what I write in the W.R."
Diary 1954-1861,1857-02-01,65,90,N/A,"Feb. 1. Received a pleasant letter from Blackwood, telling me what was said at Edinburgh about the 1st Part of Amos. Reading Burke's ""Reflections on French Revolution"" and ""Mansfield Park'' in the evenings."
Diary 1954-1861,1857-02-11,65-66,90-91,N/A,"Feb. 11. Sent off to Edinburgh the first two parts of ""Mr. Gilfil's Love Story"",
after having a delightful letter from Blackwood, impatient for more M. S. I have been suffering much from headache and general malaise for the last month, and this has retarded me and made writing heavy work."
Diary 1954-1861,1857-02-14,66,91,N/A,Feb. 14. A letter from Blackwood saying that he is delighted with my M.S. and will send a proof in a couple of days. I am reading the Oedipus Rex.
Diary 1954-1861,1857-02-28,66,91,N/A,"Feb. 28. Finished Part III of ""Mr. Gilfil's Love Story"", and received cheque from Blackwood for Part I (£21.0.0)."
Diary 1954-1861,1857-03-02,66,91,N/A,"March 2. Wrote to M. d' Albert, from whom I received a letter a week or two ago. Herbert Spencer came, walked with us in the Park, and dined with us. I wrote to Sara, also, this morning telling her my impressions from her book just published- ""Christianity and Infidelity""."
Diary 1954-1861,1857-03-15,66,91,N/A,"March 15. Sunday evening. We set off on our journey, at 9 o'clock, and slept at the Paddington Station."
Diary 1954-1861,1857-03-16,66,91,N/A,"16. Travelled by express from London to Plymouth. It was a delicious sunshiny day, and I enjoyed the simple English landscape in the early part of our way the little willow-bordered streams, blue as sapphires, the soft brown uplands, and the villages with their tiled roofs, yellow and olive-coloured in the sunlight, from their coating oflichen. We reached Plymouth a little after five, and went to the Globe Hotel, from which the Truro coachs tarts. Before our Thé dinatoire we walked to the Hoe and saw the Harbour, the breakwater, and Drake's island. Plymouth is a cheerful, clean place, with the finest site I remember to have seen for a sea-port, except Genoa."
Diary 1954-1861,1857-03-17,66-67,91-92,N/A,"17. We set offby coach to Truro at 10 1/2 under a cloudy sky. We had the back places outside, and, hard seats excepted, a very agreeable journey. Our travelling companions were a stout elderly gentleman who had travelled a great deal, bald and benevolent; an old Scotch sailor, who had come over in the vessel where the drunken captain had flogged a boy to death, and who was now travelling from Dundee to Penzance, to give his evidence in the captain's trial; a pretentious, vulgar young man with smart clothes, dirty nails, and original information on physiology; and, for part of the way, a Devonshire lass who shook hands with us all round at parting, and a Devonshire lad with scarlet flowered plush waistcoat and yellow and flowered silk neckerchief, who ate buns industriously from the time we started till his large stock was exhausted. The old sailor was a fine specimen of a simple, brave, kind-hearted man -a natural gentleman. For part of our way, until after we reached Bodmin, the country was charming- clear, rushing, winding streams, great hills, their sides clothed with woods hoary with grey lichen, and deep valleys which the unfinished railway spanned with its viaducts. But by and bye we got into the dreariest scenery of Cornwall: treeless, rough wastes, the relics of former mines; works for the preparation of the white clay used in making porcelain, where the chief objects were hovels for packing the blocks of dried, purified clay, as white as chalk, and oblong tanks where the clay is put to be purified; and throughout all this region of mines and clay works, the streams are thick and coloured or else milky white. At St. Austel, where there is a fine church tower, we got inside,
and found an intelligent companion, who told us something of the miners and their customs. At St. Probus, a little village through which we passsed, there is another exquisite church tower, but the landscape all the way is bare and dreary. It was nearly dark when we reached Truro and exchanged our stage coach for the railway. We arrived terribly weary at Penzance, about half past eight."
Diary 1954-1861,1857-03-18,67,92,N/A,"18. The morning was so dismal - the rain pouring down and the wind reported to be 'due west' - that we gave up our voyage to the Scilly Isles, and persisted in spite of the Captain's testimony to the good character of the wind. When the rain abated we set out to look for lodgings and, owing apparently to the glorious freedom of our will, chose the worst. However, we spent the evening pleasantly, in spite of ailing bodies, reading Mrs. Gaskell's pretty Cranford."
Diary 1954-1861,1857-03-19,67,92,N/A,"19. This morning the sun shines again, and we have sat down to our desks in home fashion. Reading, in the evening, ""Poor Peter""."
Diary 1954-1861,1857-03-20,67,92,N/A,"20. I was not well enough to take a long walk yesterday, but today, we went to Marazion, the pretty, clean village opposite St. Michael's Mount. The day was not bright; still, the view of the mount was beautiful - its graceful pyramidal form finely crowned by the irregular outline of the old castle."
Diary 1954-1861,1857-03-21,67,92,N/A,"21. Today we found a charming walk inland, along roads bordered with clear, rushing streams, avenues of elms here and there, and stone built banks under the hedge-rows. Began ""The Scarlet Letter""."
Diary 1954-1861,1857-03-22,67,92,N/A,"22. Sunday. A sunny day. We had a glorious walk, that reminded us of
Ilfracombe - the roads leading over hills from which we had a view of other, distant hills, purple with the shadows of the many clouds that floated in the blue sky. I noticed the bright red tips of the trees which were most abundant in the hedge-rows, and we learned from a Cornish man, in his Sunday clothes, whose appearance promised us ""good civility"" that these trees were the ""Cornish Elm""."
Diary 1954-1861,1857-03-23,67,92,N/A,"23. So calm today, we could not hear the waves from our room in the morning. The sea is smooth as a lake. But there have been some hail showers, and the air is sharp. We had a delicious walk in the afternoon, clear running brooks everywhere; road-side carpeted with the heart shaped leaves of the celandine, the
golden flowers peeping up here and there. I began to read Miss Catlow's Botany."
Diary 1954-1861,1857-03-25,67,92,N/A,"25. Packed up last night, hoping to cross to Scilly this morning, but the wind was against us, so we spent a loitering day."
Diary 1954-1861,1857-03-26,67-68,92-93,N/A,"26. We were called at six this morning to go on board the Ariadne. There was
a delicious light from the lately risen sun over the waters and St. Michael's
Mount, and the first minutes on board were very enjoyable, but we soon went below out of the rain and were glad to lie down in our berths. After a 6 hours' voyage which in spite of illness, seemed short, we landed on St Mary's, got comfortable lodgings at the Post Office, and went out on the hill to look at the lovely prospect- the blue sea breaking in white foam against little violetcoloured
islands."
Diary 1954-1861,1857-04-08,68,93,N/A,"April 8th. Since I made the last entry in my journal we have had many delicious walks and seen many beautiful sights - on clear days the smaller islands with their lovely colouring specking the blue sea, the white foam prancing round them; on more sombre days the grand rocky coast of the southern side of St. Mary's - Peninis, the Giant's Castle etc. Or we have walked over the furze and heath clad hills and heard the air ringing with larks.

Since we came here Chrissey has lost her pretty little Fanny, and I am still
waiting anxiously for news of Katy and herself- both ill off ever when I last
heard. News, too, has come from Barbara in Algiers - the probability of her marrying Dr. Bodichon, a French army physician. 

Today I have finished ""Mr. Gilfil's Love Story"". We are reading Carlyle's Cromwell and Aurora Leigh again in the evenings. I am still in the Ædipus Tyrannus, with Shelley's poems, and snatches of Natural History."
Diary 1954-1861,1857-04-18,68,93,N/A,"8th. A letter from my brother this evening tells me that Chrissey and her Katy are better, but not yet out of danger."
Diary 1954-1861,1857-04-09,68,93,N/A,
Diary 1954-1861,1857-04-10,68,93,N/A,"10. Still headache - unable to write, or to enjoy reading."
Diary 1954-1861,1857-04-11,68,93,N/A,"11. Headache again, but went out for a glorious hunt on the rocks. No letter about Chrissey."
Diary 1954-1861,1857-04-16,68,93,N/A,"16. No letter again. The weather has been cold and dreary and I have been
constantly ailing. Pleasant letter from Sara. They are all settled now in their new home- Ivy Cottage, having said goodbye to pretty Rosehill. Last night I finished Currer Bell's Life. Today I have finished the Œdipus Rex."
Diary 1954-1861,1857-04-18,68,93,N/A,"18. I have begun my third story - the title not yet decided on. A letter from Sarah with news that Chrissey is still very ill, and Katie too."
Diary 1954-1861,1857-04-22,68,93,N/A,"22. Letter from my Brother saying Chrissey is worse. I am deeply depressed and feeling the ills oflife more than the blessings, though these are so many. A letter from Barbara too. Reading the Œdipus Coloneus and Shelley. I have begun Draper's Physiology, too but rarely have spirit and clearness ofbrain for it. Tonight we finished Aurora Leigh for the second time."
